,property_name,host_name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,extra_people,guests_included,country,lat,long,availability_365,review_rating
3943,Brand new - hotel style - walk to Central,Tanielle,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,3,1.0,1.0,2,1.0,997.0,200.0,300.0,2,Hong Kong,114.14136,22.28534,7,100.0
3944,Apartamento coração Ipanema,Debora Anne,Apartment,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,5,2.0,5.0,0,1.0,500.0,150.0,0.0,1,Brazil,-43.20230152392792,-22.97935864518836,356,93.09924038225925
3945,Amazing Downtown Views from a renovated Suite,Hamed,Apartment,Entire home/apt,Real Bed,1,14,flexible,8,2.0,3.0,0,2.0,170.0,94.07480119284294,0.0,1,Canada,-73.59817,45.63314,61,93.09924038225925
3946,GiGi Montréal,Ginette,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2,1.0,1.0,1,1.0,60.0,30.0,15.0,1,Canada,-73.62721,45.54878,0,100.0
3947,"Sands Of Kahana 234 - 2 Bedroom, 2 Bathroom | Sleeps 6",Kelly,Condominium,Entire home/apt,Real Bed,4,180,super_strict_60,6,2.0,2.0,0,2.0,515.0,339.0,0.0,6,United States,-156.68012,20.96898,215,93.09924038225925
3948,Cozy Apt Downtown Sleeps 3ppl 12b1 MTR downstairs,Maria,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3,0.0,1.0,6,1.0,385.0,118.0,0.0,1,Hong Kong,114.17019,22.30409,333,90.0
3949,Freshly renovated-3 bedroom-heart of MTL-parking!!,Marco & Mélanie,Apartment,Entire home/apt,Real Bed,1,1125,moderate,6,3.0,3.0,12,1.0,95.0,35.0,0.0,1,Canada,-73.54302,45.53885,51,87.0
3950,Your Opo S. Bento 4B,YourOpo,Serviced apartment,Entire home/apt,Real Bed,1,1125,moderate,5,2.0,4.0,3,2.5,92.0,0.0,0.0,1,Portugal,-8.62967,41.15816,349,100.0
3951,Seguro & Simples & Barato,Margarida & Cesar,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,6,0.0,1.0,0,1.0,265.0,0.0,75.0,1,Brazil,-43.17854113746737,-22.93431636872765,365,93.09924038225925
3952,Furkan Flat 1+ 1 with Swimming Pool,Ogün,Apartment,Entire home/apt,Real Bed,15,1125,moderate,3,1.0,2.0,0,1.0,148.0,208.0,0.0,1,Turkey,29.13654,40.9369,365,93.09924038225925
3953,TAMARAMA BEACH  WITH SUNNY BALCONY AND BBQ.,Marcela,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,3,1.0,119.0,85.0,0.0,1,Australia,151.26474,-33.89803,36,100.0
3954,Heart of Hong Kong Double Room,Charles,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,1,1.0,353.0,94.07480119284294,0.0,1,Hong Kong,114.14311,22.28773,0,80.0
3955,luxury apartment near Downtown,Alec,Apartment,Entire home/apt,Real Bed,2,16,flexible,5,2.0,2.0,1,1.5,200.0,94.07480119284294,0.0,1,Canada,-73.60754,45.49448,90,93.09924038225925
3956,Private room/shared bath 5min walk 2 waikiki beach,Nui,Apartment,Private room,Real Bed,3,60,strict_14_with_grace_period,2,1.0,1.0,8,1.0,69.0,29.0,0.0,2,United States,-157.81814,21.2739,326,98.0
3957,Appartement tout équipé dans le plateau,Michaël,Apartment,Entire home/apt,Real Bed,3,11,moderate,6,3.0,3.0,0,1.0,85.0,94.07480119284294,0.0,1,Canada,-73.58532,45.51718,0,93.09924038225925
3958,Cozy flat in the heart of Sheung wan,Gregoire,Apartment,Private room,Real Bed,2,11,strict_14_with_grace_period,2,1.0,1.0,1,1.0,400.0,94.07480119284294,0.0,1,Hong Kong,114.14868,22.28741,10,80.0
3959,Ashifeld 2BR/3mins to train station 全新精品公寓近City,Phoebe,Apartment,Entire home/apt,Real Bed,1,1125,moderate,5,2.0,3.0,6,1.0,128.0,69.0,35.0,3,Australia,151.12236,-33.88839,69,100.0
